1	!	!	62
2	"	"	133
5	%	%	2
6	&	&	25
7	'	'	184
8	(	(	462
9	)	)	481
10	*	*	8
11	+	+	36
12	,	,	665
13	-	-	139
14	.	.	390
15	/	/	30
16	:	:	265
17	;	;	24
18	<	<	4
20	>	>	4
21	?	?	69
22	@	@	12
32	~	~	132
33	`	`	1
35	§	§	1
43	°	°	2
47	×	×	3
50	™	™	1
57	“	“	1198
58	”	”	1218
61	‘	‘	55
62	’	’	56
63	「	「	1409
64	」	」	1566
65	『	『	92
66	』	』	94
67	〈	〈	14
68	〉	〉	16
69	《	《	263
70	》	》	269
77	元	元	213
101	的	的	17398
102	。	。	8325
103	是	是	4872
104	、	、	3992
105	了	了	3545
106	在	在	3285
107	一	一	2730
108	不	不	2622
109	我	我	2388
110	有	有	2031
111	也	也	1832
112	就	就	1689
113	和	和	1468
114	人	人	1456
115	他	他	1419
116	与	与	1380
117	这	这	1248
118	都	都	1172
119	上	上	1157
120	会	会	1111
121	到	到	1070
122	你	你	1010
123	说	说	986
124	要	要	983
125	为	为	939
126	而	而	894
127	对	对	890
128	中	中	876
129	之	之	830
130	大	大	820
131	还	还	798
132	能	能	795
133	我们	我们	765
134	来	来	757
135	很	很	747
136	一个	一个	743
137	个	个	736
138	她	她	727
139	多	多	726
140	将	将	707
141	以	以	670
142	让	让	631
143	及	及	630
144	但	但	624
145	自己	自己	624
146	最	最	617
147	等	等	612
148	被	被	598
149	没有	没有	595
150	可以	可以	590
151	只	只	589
152	可	可	560
153	后	后	554
154	更	更	554
155	那	那	533
156	并	并	531
157	从	从	530
158	地	地	520
159	时	时	518
160	年	年	515
161	所	所	507
162	好	好	503
163	出	出	501
164	中国	中国	491
165	他们	他们	490
166	著	著	478
167	两	两	475
168	得	得	469
169	下	下	461
170	去	去	457
171	过	过	444
172	想	想	441
173	或	或	436
174	又	又	429
175	看	看	429
176	……	……	426
177	把	把	425
178	于	于	422
179	才	才	418
180	高	高	373
181	用	用	358
182	这个	这个	358
183	给	给	355
184	因为	因为	351
185	此	此	349
186	小	小	342
187	着	着	341
188	已经	已经	335
189	道	道	334
190	没	没	332
191	却	却	331
192	再	再	328
193	如果	如果	323
194	台湾	台湾	319
195	三	三	309
196	其	其	307
197	做	做	303
198	问题	问题	294
199	公司	公司	292
200	已	已	292
201	次	次	288
202	起	起	286
203	由	由	284
204	前	前	280
205	因	因	278
206	时间	时间	275
207	现在	现在	272
208	新	新	271
209	什么	什么	264
210	当	当	260
211	可能	可能	259
212	所以	所以	257
213	走	走	257
214	位	位	254
215	天	天	254
216	里	里	253
217	几	几	251
218	社会	社会	250
219	产品	产品	247
220	种	种	246
221	使用	使用	245
222	您	您	241
223	点	点	239
224	进行	进行	237
225	它	它	235
226	工作	工作	234
227	服务	服务	234
228	则	则	233
229	知道	知道	229
230	向	向	228
231	第一	第一	224
